id,command,category,short_definition,description,syntax,example,example_explanation,common_options,related_commands,safety_level,distribution,created_at,updated_at
1,ls,Navigation,List directory contents,"Lists information about files and directories in the current or specified path. Supports detailed metadata listing, hidden files display, and custom sorting.",ls [OPTION]... [FILE]...,ls -lah /var/log,Lists all files including hidden ones in /var/log with human-readable file sizes and long format.,-l (long format)\n-a (all files including hidden)\n-h (human readable sizes)\n-t (sort by time)\n-r (reverse order),"dir, tree, stat, pwd",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
2,cd,Navigation,Change current working directory,Changes the shell working directory to the path provided. Typing cd without arguments returns to the user home directory.,cd [DIRECTORY],cd /etc/nginx && pwd,Changes directory to Nginx configuration folder and prints the current working path.,~ (home directory)\n- (previous directory)\n.. (parent directory),"pwd, pushd, popd",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
3,pwd,Navigation,Print working directory name,Outputs the full absolute path of the current working directory.,pwd [OPTION]...,pwd -P,Prints the physical path resolving all symbolic links.,-L (logical path)\n-P (physical path resolving symlinks),"cd, ls, dirs",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
4,tree,Navigation,Display directory structure as a visual tree,Recursively lists directory tree contents in a graphical colorized layout.,tree [OPTIONS] [DIRECTORY],tree -L 2 /home/user,Displays directory structure up to 2 depth levels.,-L level (max display depth)\n-d (list directories only)\n-a (include hidden files)\n-f (print full path prefix),"ls, find, du",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
5,pushd,Navigation,Push directory onto stack and change directory,Saves the current directory on a stack and changes to target directory.,pushd [DIRECTORY],pushd /tmp,Pushes current dir to stack and enters /tmp.,+N (rotate Nth directory to top),"popd, dirs, cd",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
6,popd,Navigation,Pop directory from stack and change directory,Removes top directory from stack and changes to new top directory.,popd,popd,Returns to directory saved on top of stack.,+N (remove Nth directory),"pushd, dirs, cd",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
7,mkdir,File Management,Create directories,Creates new directories if they do not already exist.,mkdir [OPTION]... DIRECTORY...,mkdir -p project/src/components,Creates target folder along with missing parent directories.,-p (create parent directories as needed)\n-v (verbose mode)\n-m mode (set permissions),"rmdir, touch, rm",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
8,rmdir,File Management,Remove empty directories,Removes specified empty directories.,rmdir [OPTION]... DIRECTORY...,rmdir -p old_dir/sub_dir,Removes sub_dir and parent old_dir if both become empty.,-p (remove parent dirs)\n-v (verbose output),"mkdir, rm",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
9,touch,File Management,Change file timestamps or create empty file,Updates access and modification timestamps of files. Creates a empty file if target does not exist.,touch [OPTION]... FILE...,touch index.html,Creates an empty file named index.html if it does not exist.,-a (change access time only)\n-m (change modification time only)\n-t timestamp (use specified time),"mkdir, cat, stat",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
10,cp,File Management,Copy files and directories,Copies source files or directories to a destination path.,cp [OPTION]... SOURCE... DESTINATION,cp -r /var/www/html /backup/,Recursively copies the entire web document directory to backup storage.,"-r / -R (recursive)\n-i (prompt before overwrite)\n-v (verbose)\n-u (copy only when source is newer)\n-a (archive, preserves attributes)","mv, rsync, scp",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
11,mv,File Management,Move or rename files and directories,"Moves files or directories from one location to another, or renames them.",mv [OPTION]... SOURCE DEST,mv draft.txt published.txt,Renames draft.txt to published.txt.,-i (interactive prompt before overwrite)\n-n (do not overwrite existing)\n-v (verbose output),"cp, rm, rename",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
12,rm,File Management,Remove files or directories,Deletes files or directories specified on the command line.,rm [OPTION]... FILE...,rm -rf /tmp/scratch_dir,Recursively and forcefully deletes scratch_dir without confirmation prompts.,-r / -R (recursive)\n-f (force ignore non-existent files and never prompt)\n-i (prompt before every removal)\n-v (verbose),"rmdir, unlink, trash",dangerous,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
13,ln,File Management,Make links between files,Creates hard or soft (symbolic) links pointing to target files.,ln [OPTION]... TARGET LINK_NAME,ln -s /etc/nginx/sites-available/app /etc/nginx/sites-enabled/,Creates a symbolic link for an enabled Nginx site.,-s (symbolic link)\n-f (force overwrite existing target)\n-v (verbose mode),"cp, readlink, stat",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
14,mktemp,File Management,Create a temporary file or directory,Generates unique temporary files or directories safely to prevent race conditions.,mktemp [OPTION]... [TEMPLATE],TMPFILE=$(mktemp /tmp/myapp.XXXXXX),Creates a secure temporary file with a randomized name suffix.,"-d (create directory instead of file)\n-u (dry run, do not create)","touch, mkdir, tempfile",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
15,cat,Text Processing,Concatenate files and print on stdout,Reads files sequentially and writes their contents to standard output.,cat [OPTION]... [FILE]...,cat -n config.sys,Outputs file contents with line numbers.,-n (number all output lines)\n-b (number non-empty lines)\n-s (squeeze repeated empty lines)\n-A (show non-printing characters),"tac, less, head, tail",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
