ls|List directory contents|ls [options]|ls -l
grep|Search text inside files|grep [options] pattern [file]|grep hello file.txt
mkdir|Create a directory|mkdir [directory]|mkdir test
find|Search for files|find [path] [expression]|find . -name "*.txt"
chmod|Change file permissions|chmod [mode] [file]|chmod 755 file.txt
cat|Display file contents|cat [file]|cat file.txt
cp|Copy files or directories|cp [source] [destination]|cp file.txt backup.txt
mv|Move or rename files|mv [source] [destination]|mv old.txt new.txt
rm|Remove files or directories|rm [options] [file]|rm file.txt
pwd|Display current directory|pwd|pwd
touch|Create an empty file|touch [file]|touch new.txt
echo|Display text|echo [text]|echo Hello
ps|Display running processes|ps [options]|ps aux
kill|Terminate a process|kill [PID]|kill 1234
clear|Clear the terminal screen|clear|clear
